#timestamp tx ty tz qx qy qz qw
0.350000000 0.000000000 0.000000000 0.000000000 -0.000000000 -0.000000000 -0.000000000 1.000000000
0.600000000 0.055083431 -0.084512532 0.207395092 0.004587417 0.002585360 0.029414432 0.999553442
0.650000000 0.063207269 -0.079611160 0.247413948 0.006946710 0.000535047 0.024039311 0.999686718
0.750000000 0.069354437 -0.055652510 0.326967597 0.004127362 -0.018651472 0.003743256 0.999810517
0.800000000 0.069893643 -0.048156276 0.368433535 0.001642075 -0.033993360 -0.009773978 0.999372900
0.900000000 0.066071689 -0.063007049 0.454660296 0.006178022 -0.074415654 -0.007480450 0.997180164
0.950000000 0.060398787 -0.084428810 0.498853058 0.011958553 -0.084532022 -0.001223221 0.996348262
1.050000000 0.036350098 -0.129835024 0.584006906 0.010806092 -0.099863842 0.016105097 0.994812071
1.100000000 0.019811006 -0.144645631 0.626753032 0.003510714 -0.110794336 0.023747344 0.993553400
1.199999999 -0.002748464 -0.149293125 0.706420422 -0.014326212 -0.129533693 0.014535904 0.991364956
1.300000000 -0.027349763 -0.125409856 0.793014884 -0.026295021 -0.147477388 0.009817192 0.988667130
1.399999999 -0.050276335 -0.099869832 0.876256764 -0.035739217 -0.165763408 -0.014693320 0.985408247
1.550000000 -0.092218950 -0.115599871 1.008769035 -0.047481257 -0.198422670 -0.020742469 0.978745997
1.649999999 -0.119134873 -0.148938447 1.101194263 -0.046400201 -0.228829086 -0.001446755 0.972359121
1.800000000 -0.156728178 -0.177964374 1.219534636 -0.040521447 -0.248765111 -0.021617295 0.967474341
1.899999999 -0.188628674 -0.165665716 1.294746995 -0.040327527 -0.280167818 -0.047022495 0.957950234
2.000000000 -0.227390796 -0.151501223 1.374153376 -0.035444733 -0.338992268 -0.069219753 0.937569499
2.100000000 -0.277844697 -0.164771736 1.449978471 -0.019968461 -0.400720060 -0.070763469 0.913245499
2.250000000 -0.375650615 -0.223438308 1.550298333 0.009918750 -0.440098673 -0.057823125 0.896030903
2.399999998 -0.488593757 -0.239795029 1.636828303 -0.002656958 -0.484167099 -0.055980906 0.873178899
2.449999999 -0.525013089 -0.231446803 1.666192293 -0.005314721 -0.498606354 -0.063600816 0.864475787
2.499999998 -0.564281642 -0.218438864 1.694200039 -0.008960472 -0.512113512 -0.067522883 0.856212676
2.549999999 -0.603767574 -0.213286012 1.722623706 -0.009812232 -0.522258461 -0.073253319 0.849578619
2.699999999 -0.727967739 -0.238195837 1.804628372 -0.024705060 -0.548587441 -0.052268106 0.834092081
2.799999999 -0.804182887 -0.284831285 1.857515812 -0.017004723 -0.569399893 -0.044326175 0.820688605
2.949999999 -0.915608287 -0.323334783 1.930539846 0.001547551 -0.597910702 -0.046835329 0.800191760
3.049999999 -0.994673252 -0.311538607 1.970707655 0.005090453 -0.626496136 -0.056953825 0.777324200
3.149999998 -1.072546005 -0.287273020 1.999330282 0.004436224 -0.650682032 -0.102161847 0.752433479
3.249999998 -1.161961913 -0.289872229 2.021587372 0.002515981 -0.673665941 -0.100342274 0.732188106
3.299999999 -1.207518220 -0.305472404 2.026931047 0.007501939 -0.692842722 -0.094302110 0.714856446
3.649999998 -1.547320604 -0.359291077 2.029402018 0.019773724 -0.778951108 -0.110702232 0.616919100
3.949999999 -1.825846910 -0.385858566 1.995790482 0.005212887 -0.821804643 -0.109363727 0.559150815
3.999999998 -1.872439623 -0.411469102 1.986586571 0.006476854 -0.829563379 -0.100820094 0.549197435
4.099999998 -1.959451437 -0.430223107 1.964905620 0.011391109 -0.846913874 -0.095401965 0.522977650
4.249999998 -2.077363491 -0.413594812 1.923726559 0.013069524 -0.883946717 -0.113644004 0.453378886
4.349999998 -2.147634506 -0.379545659 1.892723680 0.035014343 -0.904198289 -0.141424179 0.401495516
4.449999999 -2.223625660 -0.374233097 1.845109463 0.036733992 -0.925880015 -0.133508563 0.351528645
